"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.870774043E1,6.508700393E1,2.538557236E1,9.734156754E-1,1.481318712E0,2.335871124E2,4.000000000E0,3.578091145E0
9.970917912E1,6.508699446E1,2.538555047E1,7.842863787E-1,1.473381758E0,2.327356110E2,4.000000000E0,3.586086035E0
1.007116878E2,6.508698611E1,2.538552935E1,1.006525417E0,1.453274131E0,2.305595398E2,4.000000000E0,3.595495701E0
1.016915726E2,6.508697918E1,2.538551136E1,7.060995237E-1,1.425209045E0,2.236866913E2,4.000000000E0,3.615228891E0
1.027053768E2,6.508696676E1,2.538548738E1,7.270042087E-1,1.453114510E0,2.219508362E2,4.000000000E0,3.638550043E0
1.036970162E2,6.508695361E1,2.538546486E1,9.873570479E-1,1.475914717E0,2.204290924E2,4.000000000E0,3.664788008E0
1.047142437E2,6.508694469E1,2.538544865E1,7.732087211E-1,1.457249165E0,2.184433594E2,4.000000000E0,3.687431574E0
1.057015358E2,6.508693239E1,2.538542588E1,1.198977104E0,1.481057763E0,2.181658630E2,4.000000000E0,3.687197447E0
1.067009541E2,6.508691806E1,2.538540257E1,1.317619497E0,1.516607046E0,2.180005646E2,4.000000000E0,3.664044142E0
1.077069171E2,6.508690503E1,2.538537713E1,1.150906370E0,1.549047112E0,2.152371979E2,4.000000000E0,3.651312828E0
1.087095532E2,6.508689085E1,2.538534647E1,6.578414538E-1,1.597742438E0,2.150852203E2,4.000000000E0,3.632475853E0
1.096943210E2,6.508687764E1,2.538531805E1,5.802880365E-1,1.623911142E0,2.197802582E2,4.000000000E0,3.587733030E0
1.106990019E2,6.508686661E1,2.538529784E1,8.207726156E-1,1.617863655E0,2.203772430E2,4.000000000E0,3.564441681E0
1.117041420E2,6.508685404E1,2.538527443E1,1.083648550E0,1.631061554E0,2.208562775E2,4.000000000E0,3.551922321E0
1.126974218E2,6.508684099E1,2.538524687E1,1.090480663E0,1.656131029E0,2.223860168E2,4.000000000E0,3.516194820E0
1.137035312E2,6.508683043E1,2.538522670E1,9.442886967E-1,1.644020557E0,2.200407410E2,4.000000000E0,3.480030060E0
1.146895526E2,6.508681808E1,2.538520620E1,1.518611714E0,1.644390821E0,2.164947205E2,4.000000000E0,3.291336060E0
1.157024814E2,6.508680588E1,2.538518482E1,1.518871489E0,1.646172523E0,2.156455536E2,4.000000000E0,3.228286266E0
1.166930809E2,6.508679175E1,2.538516146E1,1.592108014E0,1.671058059E0,2.148126373E2,4.000000000E0,3.168780565E0
1.176868027E2,6.508677589E1,2.538513263E1,1.599874780E0,1.715693235E0,2.150599670E2,4.000000000E0,3.137500525E0
1.186924814E2,6.508676154E1,2.538511258E1,1.715766744E0,1.726030350E0,2.136568756E2,4.000000000E0,3.116925478E0
1.196910764E2,6.508674879E1,2.538509566E1,1.772538784E0,1.720431805E0,2.130584869E2,4.000000000E0,3.101423025E0
1.207028602E2,6.508673534E1,2.538507959E1,1.827431147E0,1.714215994E0,2.112137909E2,4.000000000E0,3.093805313E0
1.216934378E2,6.508672370E1,2.538506961E1,1.782133422E0,1.685264468E0,2.093103485E2,4.000000000E0,3.093518972E0
1.226987579E2,6.508671264E1,2.538505513E1,1.837376948E0,1.660977125E0,2.053157043E2,4.000000000E0,3.077473640E0
1.237052786E2,6.508670150E1,2.538504068E1,1.939171843E0,1.637965798E0,2.054542694E2,4.000000000E0,3.000000000E0
1.246916386E2,6.508668964E1,2.538502217E1,2.107458411E0,1.630662203E0,2.093819580E2,4.000000000E0,3.000000000E0
1.256909351E2,6.508667644E1,2.538500894E1,1.763388331E0,1.626828551E0,2.090816193E2,4.000000000E0,3.000000000E0
1.267028739E2,6.508666202E1,2.538499115E1,1.810754377E0,1.634131789E0,2.083851776E2,4.000000000E0,3.000000000E0
1.276953780E2,6.508665203E1,2.538497993E1,1.702883924E0,1.592038870E0,2.114852905E2,4.000000000E0,3.000000000E0
1.286883193E2,6.508664333E1,2.538495960E1,1.861633169E0,1.567809582E0,2.158240662E2,4.000000000E0,3.000000000E0
1.296971018E2,6.508663434E1,2.538492608E1,2.066197304E0,1.589552402E0,2.152194519E2,4.000000000E0,3.000000000E0
1.306858915E2,6.508662052E1,2.538490221E1,2.074147829E0,1.608785033E0,2.213068542E2,4.000000000E0,3.000000000E0
1.316944677E2,6.508661502E1,2.538487658E1,1.849991067E0,1.590718865E0,2.345210724E2,4.000000000E0,3.000000000E0
1.326879801E2,6.508661582E1,2.538483424E1,1.890300387E0,1.622035265E0,2.470922241E2,4.000000000E0,3.000000000E0
1.337012602E2,6.508661858E1,2.538480025E1,1.922569671E0,1.620631933E0,2.667021484E2,4.000000000E0,3.000000000E0
1.346943045E2,6.508662254E1,2.538476355E1,1.960986483E0,1.630322218E0,2.754458618E2,4.000000000E0,3.000000000E0
1.356978915E2,6.508662820E1,2.538472523E1,2.087928389E0,1.649641752E0,2.812953186E2,4.000000000E0,3.000000000E0
1.367046586E2,6.508663251E1,2.538468705E1,2.043915416E0,1.662244320E0,2.828313599E2,4.000000000E0,3.000000000E0
1.376906557E2,6.508663832E1,2.538465046E1,2.039610250E0,1.681120992E0,2.902894897E2,4.000000000E0,3.000000000E0
1.386971295E2,6.508664526E1,2.538459673E1,1.924857404E0,1.751845837E0,2.856210022E2,4.000000000E0,3.000000000E0
1.396944331E2,6.508664915E1,2.538456151E1,2.034401604E0,1.743273377E0,2.875615234E2,4.000000000E0,3.000000000E0
1.407060462E2,6.508665583E1,2.538453284E1,1.396445676E0,1.727541685E0,2.885351868E2,4.000000000E0,3.000000000E0
1.416871244E2,6.508666259E1,2.538449363E1,1.185348274E0,1.740529895E0,2.915348511E2,4.000000000E0,3.000000000E0
1.427073384E2,6.508666547E1,2.538446524E1,9.136973301E-1,1.701260805E0,2.882026062E2,4.000000000E0,3.000000000E0
1.436934559E2,6.508666660E1,2.538444062E1,8.698720533E-1,1.650164366E0,2.876608276E2,4.000000000E0,3.000000000E0
1.446918156E2,6.508667122E1,2.538439823E1,1.653095909E0,1.675278306E0,2.866527405E2,4.000000000E0,3.000000000E0
1.457105788E2,6.508667781E1,2.538436328E1,1.645513963E0,1.676707983E0,2.848541565E2,4.000000000E0,3.000000000E0
1.466998137E2,6.508668023E1,2.538433944E1,1.479368977E0,1.632747054E0,2.864183350E2,4.000000000E0,3.000000000E0
1.477101815E2,6.508668701E1,2.538430822E1,1.208146533E0,1.625087976E0,2.843754883E2,4.000000000E0,3.000000000E0
1.486951686E2,6.508668975E1,2.538428487E1,8.376845011E-1,1.577286243E0,2.871926270E2,4.000000000E0,3.000000000E0
1.496880161E2,6.508669536E1,2.538426035E1,8.596961845E-1,1.552196026E0,2.942415771E2,4.000000000E0,3.000000000E0
1.506984356E2,6.508670185E1,2.538422314E1,1.029977967E0,1.572026253E0,2.956831055E2,4.000000000E0,3.000000000E0
1.516992348E2,6.508670980E1,2.538419847E1,1.213119273E0,1.554856062E0,2.990673523E2,4.000000000E0,3.000000000E0
1.526900805E2,6.508671634E1,2.538417295E1,1.547891434E0,1.535785437E0,2.983448792E2,4.000000000E0,3.000000000E0
1.536919268E2,6.508672136E1,2.538414301E1,1.417002260E0,1.524371862E0,2.991420288E2,4.000000000E0,3.000000000E0
1.546919666E2,6.508673023E1,2.538411399E1,1.697906203E0,1.530971050E0,3.030898132E2,4.000000000E0,3.000000000E0
1.556847564E2,6.508673850E1,2.538409255E1,9.426871125E-1,1.515563011E0,3.105706177E2,4.000000000E0,3.000000000E0
1.566864476E2,6.508674924E1,2.538406814E1,9.908187548E-1,1.524926662E0,3.157091675E2,4.000000000E0,3.000000000E0
1.576867843E2,6.508675822E1,2.538404303E1,1.365420260E0,1.524215221E0,3.135830994E2,4.000000000E0,3.000000000E0
1.586948205E2,6.508676721E1,2.538401628E1,1.484416460E0,1.525564313E0,3.141103821E2,4.000000000E0,3.000000000E0
1.596871020E2,6.508677550E1,2.538399339E1,1.448814520E0,1.512444258E0,3.153424072E2,4.000000000E0,3.000000000E0
1.606929740E2,6.508678432E1,2.538397438E1,1.501528058E0,1.490775466E0,3.137660217E2,4.000000000E0,3.000000000E0
1.616845696E2,6.508679023E1,2.538396156E1,1.563348624E0,1.441324234E0,3.134588928E2,4.000000000E0,3.000000000E0
1.626888896E2,6.508679981E1,2.538394207E1,1.574857832E0,1.438753128E0,3.217243347E2,4.000000000E0,3.000000000E0
1.636922911E2,6.508681337E1,2.538391974E1,1.581392948E0,1.466616750E0,3.273485718E2,4.000000000E0,3.000000000E0
1.647152461E2,6.508682552E1,2.538390321E1,1.589012891E0,1.474432349E0,3.185118408E2,4.000000000E0,3.000000000E0
1.657014486E2,6.508683848E1,2.538387785E1,1.626270133E0,1.500355959E0,3.196326599E2,4.000000000E0,3.000000000E0
1.666911681E2,6.508684959E1,2.538386094E1,1.690793158E0,1.494529247E0,3.261754150E2,4.000000000E0,3.000000000E0
1.677114988E2,6.508686002E1,2.538384358E1,1.710640157E0,1.491538048E0,3.250984497E2,4.000000000E0,3.000000000E0
1.686841080E2,6.508687306E1,2.538382371E1,1.561534297E0,1.506753683E0,3.270921936E2,6.000000000E0,3.000000000E0
1.697041561E2,6.508687858E1,2.538379618E1,1.028721361E0,1.493232608E0,3.208429871E2,6.000000000E0,3.000000000E0
1.707007572E2,6.508688686E1,2.538378134E1,9.654685777E-1,1.462893605E0,3.183275757E2,6.000000000E0,3.000000000E0
1.717026425E2,6.508689876E1,2.538375149E1,1.213374560E0,1.491241932E0,3.162793274E2,6.000000000E0,3.000000000E0
1.726928188E2,6.508691093E1,2.538373842E1,1.810648598E0,1.483271837E0,3.358881226E2,6.000000000E0,3.000000000E0
1.736990321E2,6.508692233E1,2.538372262E1,1.723083354E0,1.477325320E0,3.301448059E2,6.000000000E0,3.000000000E0
1.746965835E2,6.508693661E1,2.538370550E1,1.814410283E0,1.495639801E0,3.248659668E2,6.000000000E0,3.000000000E0
1.757083014E2,6.508694906E1,2.538368868E1,1.863247081E0,1.494811416E0,3.210188293E2,6.000000000E0,3.000000000E0
1.767085540E2,6.508695788E1,2.538367652E1,1.733133367E0,1.464577913E0,3.232280884E2,4.000000000E0,3.000000000E0
1.776908481E2,6.508697319E1,2.538366204E1,1.691081253E0,1.491863132E0,3.295791931E2,4.000000000E0,3.000000000E0
1.787043200E2,6.508698746E1,2.538364205E1,2.040909236E0,1.516027331E0,3.330760193E2,4.000000000E0,3.000000000E0
1.796948127E2,6.508700007E1,2.538362706E1,1.831052163E0,1.518201113E0,3.346662292E2,4.000000000E0,3.000000000E0
1.806909018E2,6.508701408E1,2.538360865E1,1.902585077E0,1.535105944E0,3.297439575E2,4.000000000E0,3.000000000E0
1.817025755E2,6.508702828E1,2.538359232E1,1.949888721E0,1.546609759E0,3.314051514E2,4.000000000E0,3.000000000E0
1.826937869E2,6.508704221E1,2.538357674E1,2.373704581E0,1.555840611E0,3.262986755E2,4.000000000E0,3.000000000E0
1.837071548E2,6.508705355E1,2.538355033E1,2.304559542E0,1.567294836E0,3.258893433E2,4.000000000E0,3.000000000E0
1.847020874E2,6.508706308E1,2.538353404E1,2.166385316E0,1.541742086E0,3.255706787E2,4.000000000E0,3.000000000E0
1.856903667E2,6.508707338E1,2.538351609E1,2.077564234E0,1.533576965E0,3.250765686E2,4.000000000E0,3.000000000E0
1.866935312E2,6.508708858E1,2.538349186E1,2.070929454E0,1.569975138E0,3.235110474E2,4.000000000E0,3.000000000E0
1.876957909E2,6.508710101E1,2.538347434E1,1.952124044E0,1.566923857E0,3.267988281E2,4.000000000E0,3.000000000E0
1.887080412E2,6.508711551E1,2.538345784E1,2.194165701E0,1.578811765E0,3.292673950E2,4.000000000E0,3.000000000E0
1.896909805E2,6.508712904E1,2.538343608E1,2.309963420E0,1.594008923E0,3.293120728E2,4.000000000E0,3.000000000E0
1.906998769E2,6.508714030E1,2.538342200E1,2.379925018E0,1.573526859E0,3.302271118E2,4.000000000E0,3.000000000E0
1.917046742E2,6.508714979E1,2.538341161E1,2.260373042E0,1.537992954E0,3.271557312E2,4.000000000E0,3.000000000E0
1.927136370E2,6.508716015E1,2.538339573E1,2.106756837E0,1.522955179E0,3.256661377E2,4.000000000E0,3.000000000E0
1.936907356E2,6.508717206E1,2.538337346E1,1.966071830E0,1.533329010E0,3.306860657E2,4.000000000E0,3.000000000E0
1.947119120E2,6.508718317E1,2.538335672E1,2.045657743E0,1.525385857E0,3.296779175E2,4.000000000E0,3.000000000E0
1.956925354E2,6.508719579E1,2.538334124E1,1.911934941E0,1.524440885E0,3.239625854E2,4.000000000E0,3.000000000E0
1.967062331E2,6.508720867E1,2.538332965E1,1.827171680E0,1.517982841E0,3.299292297E2,4.000000000E0,3.000000000E0
1.977035321E2,6.508721819E1,2.538332225E1,1.813395951E0,1.483142376E0,3.268768616E2,4.000000000E0,3.000000000E0
1.987045360E2,6.508723217E1,2.538330385E1,2.377882646E0,1.502021074E0,3.293431702E2,4.000000000E0,3.000000000E0
1.997034923E2,6.508724508E1,2.538329062E1,2.130482616E0,1.502992630E0,3.471684265E2,4.000000000E0,3.000000000E0
2.007068458E2,6.508725759E1,2.538328106E1,1.969941906E0,1.496377587E0,3.419764099E2,4.000000000E0,3.000000000E0
2.016915674E2,6.508726953E1,2.538327195E1,1.808865514E0,1.482835054E0,3.356465759E2,4.000000000E0,3.000000000E0
2.026965419E2,6.508728026E1,2.538325865E1,1.735441776E0,1.464413643E0,3.373830872E2,4.000000000E0,3.000000000E0
2.037048477E2,6.508729019E1,2.538324485E1,1.980297544E0,1.445147514E0,3.308624573E2,4.000000000E0,3.000000000E0
2.047063010E2,6.508730337E1,2.538322938E1,2.129058166E0,1.452723861E0,3.312434387E2,4.000000000E0,3.000000000E0
2.056929243E2,6.508731307E1,2.538321992E1,1.932817708E0,1.421334982E0,3.326233215E2,4.000000000E0,3.000000000E0
2.066896337E2,6.508731855E1,2.538320424E1,1.646013384E0,1.377659678E0,3.288385620E2,4.000000000E0,3.000000000E0
2.076944095E2,6.508732876E1,2.538318947E1,1.363303195E0,1.365658522E0,3.322083130E2,4.000000000E0,3.000000000E0
2.086926449E2,6.508734085E1,2.538317548E1,1.650368132E0,1.366972804E0,3.338221130E2,4.000000000E0,3.000000000E0
2.097023268E2,6.508735104E1,2.538316048E1,1.849615996E0,1.358500957E0,3.331644287E2,4.000000000E0,3.000000000E0
